% Model,MT COMSOL Model COMPLETED.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 8 2025, 15:07"
% Dimension,2
% Nodes,18337
% Expressions,2
% Description,"Temperature, Concentration"
% Length unit,m
% x,y,T (K),c (mol/m^3)
0.0901355914037173,0.02,323.20419555944176,2.8115228326840448E-5
0.09199068455813592,0.02,323.2022408080058,9.695409842729556E-5
0.09112040405679882,0.01831433657835652,323.2041937015383,4.4313250504627865E-5
0.09384577771255456,0.02,323.2037746488524,4.2069782159760726E-5
0.09293009202377019,0.01821874193230645,323.2034109256819,5.395100113570525E-5
0.09466281054557668,0.018343736045459406,323.2025603013179,9.89512708602844E-5
0.09570087086697324,0.02,323.2042200719089,3.2091237626146714E-5
0.09755596402139184,0.02,323.20314967437037,8.470136843052589E-5
0.09668745185863499,0.01835467190785994,323.20428915538326,3.243903348118927E-5
0.0994110571758105,0.019999999999999997,323.20443261719123,4.1508402973480915E-5
0.09852993830464628,0.01827634083236178,323.2037880887237,4.858617583790781E-5
0.10126615033022915,0.019999999999999997,323.20461455578453,9.988101345897174E-6
0.10035186912026833,0.018396733744040716,323.20351825546453,6.0643956245479774E-5
0.10312124348464782,0.02,323.2043737632503,1.8833924377530254E-5
0.10235816326875441,0.01828863454395769,323.2051325842471,7.261957411523153E-6
0.10497633663906646,0.02,323.205149382313,9.68441141579985E-6
0.10407585376058676,0.018203996737112066,323.2039942745614,3.314752765732389E-5
0.10579248453324189,0.018327003081464763,323.20333851564516,5.5279554419874096E-5
0.1068314297934851,0.02,323.20315228141953,7.346414893772909E-5
0.10868652294790375,0.020000000000000004,323.20074953366793,1.4128048740767583E-4
0.10781917107399497,0.018300404204153298,323.2042049280398,3.6417088520910146E-5
0.11054161610232241,0.02,323.20332660084466,5.3981542184853766E-5
0.1096292029655427,0.018213320312338615,323.2026032809788,7.91076787082668E-5
0.1114232947918222,0.01832678666473729,323.201677280621,1.0681177843291813E-4
0.112396709256741,0.02,323.2041767785898,1.991379705666434E-5
0.11425180241115962,0.02,323.20199359917166,8.855448218101855E-5
0.1134344322570426,0.018275867164323487,323.20411424391864,2.395696714599358E-5
0.11610689556557832,0.019999999999999997,323.20355614791015,5.168302255637401E-5
0.11519351359576055,0.018209569641952975,323.2032091574065,5.8695248891081627E-5
0.11691964203112881,0.018337181775485135,323.20228886764886,1.0463183050295385E-4
0.11796198871999694,0.020000000000000004,323.20385892789494,6.854796761514019E-5
0.11981708187441562,0.02,323.20312289922464,1.3522050796433221E-4
0.1189513109127169,0.018324018871335227,323.20437238626795,5.149004950866871E-5
0.12167217502883425,0.02,323.20493649923617,5.8329384189790824E-5
0.12075219523763889,0.01821933432798103,323.20369841561524,7.154199207490786E-5
0.12252386717598808,0.01835115953856664,323.2034263678733,7.526500363926178E-5
0.12352726818325291,0.02,323.2046789672796,-1.0823805657031956E-5
0.1253823613376715,0.02,323.2036743736646,-2.9633521325826484E-5
0.12451848995601408,0.018348269136303268,323.20520843370963,-1.1468301609215745E-5
0.1272374544920902,0.02,323.2049684720087,-4.4925256300745114E-5
0.12631076548709497,0.018220015868759747,323.20366413877736,1.0439807868641668E-5
0.1290925476465088,0.02,323.20264605131354,1.0133709847385859E-4
0.12817383675041175,0.01839608237703438,323.2022865690013,6.156164666972396E-5
0.1309476408009275,0.02,323.19917042661484,2.425247746596683E-4
0.13014010781117855,0.018307354554296523,323.20352456504446,5.017426017115372E-5
0.13280273395534614,0.02,323.2020694740556,1.3132462402763254E-4
0.13189425267353644,0.01820536767065748,323.2019899854459,1.25635093098097E-4
0.13368989363225317,0.01832859089464314,323.2013926841694,1.4868791328103751E-4
0.13465782710976473,0.020000000000000004,323.2048649557028,5.147227402785012E-6
0.1365129202641834,0.02,323.2042010056241,3.9586475677648336E-5
0.13570577033732073,0.018273633813045503,323.204281648793,3.744570140245561E-5
0.13836801341860208,0.02,323.2047248553965,1.441377255684111E-5
0.13747953344264136,0.018155598911134736,323.20415588826177,2.6402286776892535E-5
0.13927844924370522,0.018336327540576836,323.2035633991006,6.57790714679655E-5
0.1402231065730207,0.02,323.20363917404467,4.1888371937378475E-5
0.14207819972743937,0.02,323.2031571337936,8.520028304119379E-5
0.14126370900198854,0.018293572110766116,323.204692313059,2.3728167757695943E-5
0.143933292881858,0.020000000000000004,323.205163896146,3.1076186002999765E-5
0.1430168765422629,0.018212883656348388,323.2036956744749,4.295840760200253E-5
0.14478551942041584,0.01834194927970513,323.2032630574094,5.2131299300735115E-5
0.14578838603627667,0.02,323.2044399595747,-3.5303031063990435E-6
0.14764347919069531,0.02,323.20241553701516,1.8815773495435625E-5
0.14677758535169325,0.018346031175469544,323.2048041681614,7.335691610085886E-6
0.149498572345114,0.019999999999999997,323.2034885392988,2.4014930958488847E-5
0.14857429059493502,0.018192880121399167,323.2028876131919,3.142732666798947E-5
0.15038599802115019,0.01837531174980754,323.2014963125385,6.708898697152455E-5
0.1513536654995326,0.02,323.2021237274433,8.842062288415686E-5
0.15320875865395128,0.02,323.1989634923589,1.7337442657447172E-4
0.15239772735119203,0.018319555676799444,323.202815898741,6.849847925958503E-5
0.15413032131138857,0.0182109605674455,323.2019234543696,9.177507108910334E-5
0.1550638518083699,0.019999999999999997,323.20232628028486,9.806904231595254E-5
0.15596326683545272,0.018378743265249804,323.2015392084633,9.459884562761453E-5
0.15691894496278855,0.02,323.205546254907,-4.298987264298908E-6
0.1587740381172072,0.02,323.2057720116422,-3.727492056199519E-5
0.15796445338102408,0.018320534865833807,323.2051304276508,6.11182415558698E-6
0.16062913127162584,0.02,323.2059982240923,-3.1675554908566516E-5
0.15971392376166182,0.018212334995837295,323.20469168653926,1.0777340613146441E-5
0.1615362724981964,0.018377059672198093,323.2032468352108,4.592486867162866E-5
0.16248422442604446,0.02,323.20238007623067,9.879989307053407E-5
0.16433931758046313,0.020000000000000004,323.1987701665325,2.0162512888265613E-4
0.16354944929726833,0.018338596321549737,323.20350509745555,4.676958779202311E-5
0.16619441073488175,0.02,323.20159482273465,1.036804046845569E-4
0.16528825404694175,0.018251316492430184,323.2017106078145,1.1551861354129425E-4
0.16713638653177354,0.018405141321684453,323.2010111718768,1.4834881777982655E-4
0.16804950388930043,0.02,323.20474093159345,3.714023430113412E-5
0.16990459704371907,0.02,323.2031914958106,1.2039671050273841E-4
0.16912115890811005,0.018302964490172335,323.2039030426832,5.017312392212975E-5
0.1717596901981377,0.02,323.2045008901472,5.8342641247947155E-5
0.17087011708060434,0.0181887162982361,323.20418519591067,6.331419939590822E-5
0.17361478335255634,0.02,323.2036771463947,5.832540954919549E-5
0.1727022493739122,0.018400751472851178,323.20165227492333,1.471863443574375E-4
0.17546987650697504,0.02,323.1990136722178,2.093471644432948E-4
0.17469286750079982,0.018317454056790326,323.20271617362465,8.53330245985229E-5
0.17732496966139363,0.02,323.20041816900016,1.4546048943645456E-4
0.17640852329521692,0.01818025465293804,323.2027595153541,8.060100685670486E-5
0.17817675023075785,0.018359588610017907,323.2010564274231,1.360865332479239E-4
0.17918006281581236,0.02,323.2055992991149,-2.8280844634272632E-5
0.18103515597023095,0.019999999999999997,323.20373711993483,2.7120419477908444E-5
0.18012643987047572,0.01834674903656945,323.2020465615206,9.203781874323674E-5
